date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,00632R,38549380,383070047,9.95,9.99,9.9,9.93,-0.06,3088
2020-01-03,00632R,47640254,473339451,9.86,10.02,9.85,9.95,0.02,4738
2020-01-06,00632R,43897000,439901286,10.01,10.05,9.98,10.04,0.09,4051
2020-01-07,00632R,60680966,612662324,10.01,10.15,10.0,10.09,0.05,6018
2020-01-08,00632R,53156710,539785293,10.19,10.2,10.09,10.15,0.06,5575
2020-01-09,00632R,45767210,459548654,10.08,10.09,10.0,10.01,-0.14,4047
2020-01-10,00632R,26793586,268113241,9.98,10.04,9.97,10.01,0.0,2536
2020-01-13,00632R,43564376,432514963,9.95,9.97,9.91,9.91,-0.1,4822
2020-01-14,00632R,36239500,357374565,9.86,9.88,9.84,9.86,-0.05,3799
2020-01-15,00632R,56119458,555295685,9.88,9.95,9.87,9.94,0.08,2778
2020-01-16,00632R,24181337,240447125,9.98,9.98,9.91,9.93,-0.01,1696
2020-01-17,00632R,15947700,158172711,9.89,9.95,9.89,9.92,-0.01,1352
2020-01-20,00632R,29473095,290903207,9.89,9.9,9.85,9.88,-0.04,2687
2020-01-30,00632R,234884301,2421208450,10.15,10.48,10.15,10.48,0.6,21359
2020-01-31,00632R,112789775,1169829973,10.37,10.45,10.3,10.4,-0.08,7761
2020-02-03,00632R,180114079,1903531094,10.61,10.68,10.48,10.49,0.09,12821
2020-02-04,00632R,89059389,924719679,10.47,10.48,10.31,10.35,-0.14,7435
2020-02-05,00632R,79079977,815353008,10.28,10.38,10.25,10.32,-0.03,5538
2020-02-06,00632R,89378294,910758754,10.23,10.24,10.14,10.16,-0.16,7760
2020-02-07,00632R,61070989,626792752,10.22,10.3,10.22,10.28,0.12,5371
2020-02-10,00632R,76483336,791691105,10.41,10.44,10.26,10.3,0.02,6190
2020-02-11,00632R,39306750,401315667,10.25,10.25,10.18,10.2,-0.1,3715
2020-02-12,00632R,64910202,657660943,10.2,10.2,10.09,10.11,-0.09,6353
2020-02-13,00632R,48212999,486414909,10.08,10.13,10.05,10.12,0.01,3935
2020-02-14,00632R,35507990,357792858,10.12,10.13,10.05,10.08,-0.04,3657
2020-02-17,00632R,34377998,348273928,10.15,10.16,10.1,10.13,0.05,2700
2020-02-18,00632R,56853510,580160156,10.2,10.23,10.16,10.22,0.09,4956
2020-02-19,00632R,52669239,533710478,10.2,10.23,10.08,10.1,-0.12,4721
2020-02-20,00632R,36498615,369246975,10.05,10.17,10.05,10.14,0.04,2856
2020-02-21,00632R,41889708,426079056,10.17,10.21,10.1,10.17,0.03,3240
2020-02-24,00632R,88487145,911677319,10.3,10.35,10.25,10.31,0.14,7078
2020-02-25,00632R,81711939,844008359,10.38,10.39,10.27,10.28,-0.03,6511
2020-02-26,00632R,105461232,1096108329,10.41,10.44,10.34,10.39,0.11,7135
2020-02-27,00632R,138117080,1448487645,10.4,10.56,10.38,10.52,0.13,11477
2020-03-02,00632R,202652401,2156644653,10.71,10.75,10.53,10.61,0.09,12570
2020-03-03,00632R,94294978,988242745,10.46,10.53,10.43,10.51,-0.1,6195
2020-03-04,00632R,124522142,1306381982,10.46,10.55,10.45,10.49,-0.02,4725
2020-03-05,00632R,84886502,878847368,10.38,10.39,10.33,10.35,-0.14,8609
2020-03-06,00632R,84330064,884220870,10.41,10.54,10.41,10.52,0.17,9919
2020-03-09,00632R,243606242,2625099413,10.7,10.86,10.68,10.84,0.32,18688
2020-03-10,00632R,227981093,2482181052,10.92,10.99,10.78,10.78,-0.06,13965
2020-03-11,00632R,176745963,1918178039,10.8,10.99,10.74,10.98,0.2,9046
2020-03-12,00632R,336620824,3816854284,11.06,11.61,11.05,11.48,0.5,29689
2020-03-13,00632R,612130512,7414693793,12.18,12.4,11.62,11.72,0.24,40990
2020-03-16,00632R,560791416,6690315164,11.87,12.22,11.73,12.2,0.48,22559
2020-03-17,00632R,397093196,4942913111,12.6,12.61,12.17,12.49,0.29,30639
2020-03-18,00632R,307003192,3890066718,12.54,12.9,12.49,12.9,0.41,26210
2020-03-19,00632R,474253973,6404014995,13.21,13.94,13.15,13.8,0.9,49135
2020-03-20,00632R,477889391,6175814828,13.29,13.34,12.5,12.76,-1.04,44015
2020-03-23,00632R,483716581,6380268131,13.48,13.5,12.98,13.23,0.47,28916
2020-03-24,00632R,406895046,5061777191,12.6,12.63,12.29,12.46,-0.77,34606
2020-03-25,00632R,333826334,4001315638,11.93,12.15,11.86,12.0,-0.46,32553
2020-03-26,00632R,274269865,3277368650,11.9,12.13,11.81,11.87,-0.13,27804
2020-03-27,00632R,269812001,3168970026,11.64,11.95,11.59,11.93,0.06,31587
2020-03-30,00632R,322066984,3898450335,12.22,12.3,11.93,11.96,0.03,31661
2020-03-31,00632R,160713735,1911893036,11.78,12.03,11.75,11.93,-0.03,19306
2020-04-01,00632R,259616570,3090295538,11.87,11.96,11.84,11.89,-0.04,17755
2020-04-06,00632R,197431942,2321966639,11.72,11.92,11.68,11.69,-0.2,19967
2020-04-07,00632R,210554295,2412585130,11.44,11.55,11.39,11.43,-0.26,27790
2020-04-08,00632R,230499127,2614836952,11.45,11.48,11.25,11.27,-0.16,25179
2020-04-09,00632R,204667633,2311591998,11.22,11.38,11.19,11.31,0.04,19314
2020-04-10,00632R,124454704,1406099329,11.34,11.36,11.26,11.28,-0.03,9369
2020-04-13,00632R,109885994,1243546680,11.34,11.38,11.25,11.34,0.06,9259
2020-04-14,00632R,302287983,3350769643,11.27,11.29,10.98,10.99,-0.35,31571
2020-04-15,00632R,183175350,2002834829,10.95,11.0,10.89,10.92,-0.07,18053
2020-04-16,00632R,134395999,1476896593,11.08,11.08,10.91,10.94,0.02,11938
2020-04-17,00632R,287759161,3068522230,10.66,10.79,10.57,10.69,-0.25,29247
2020-04-20,00632R,86376211,927151676,10.7,10.77,10.68,10.74,0.05,7753
2020-04-21,00632R,221216221,2428523229,10.83,11.1,10.78,11.07,0.33,22302
2020-04-22,00632R,203551238,2261886235,11.14,11.2,11.02,11.03,-0.04,21465
2020-04-23,00632R,151653180,1660353782,10.96,11.1,10.83,10.94,-0.09,13722
2020-04-24,00632R,108541917,1190307657,10.99,11.03,10.93,10.95,0.01,6976
2020-04-27,00632R,203253886,2179741026,10.8,10.85,10.65,10.65,-0.3,19552
2020-04-28,00632R,178039494,1897940144,10.6,10.73,10.6,10.62,-0.03,9589
2020-04-29,00632R,200592440,2105681731,10.58,10.59,10.45,10.47,-0.15,18874
2020-04-30,00632R,305482404,3148319357,10.39,10.41,10.24,10.25,-0.22,26455
2020-05-04,00632R,441980276,4671257468,10.6,10.63,10.52,10.56,0.31,19079
2020-05-05,00632R,212636777,2231222369,10.48,10.56,10.42,10.49,-0.07,10162
2020-05-06,00632R,280964654,2949495045,10.52,10.59,10.43,10.47,-0.02,10483
2020-05-07,00632R,202922870,2108475257,10.47,10.49,10.33,10.38,-0.09,11814
2020-05-08,00632R,69670129,718271945,10.29,10.36,10.26,10.31,-0.07,7083
2020-05-11,00632R,146768455,1499535627,10.22,10.28,10.18,10.22,-0.09,9615
2020-05-12,00632R,86253607,891811212,10.31,10.4,10.28,10.33,0.11,8115
2020-05-13,00632R,102372686,1059277352,10.4,10.4,10.28,10.3,-0.03,6882
2020-05-14,00632R,390788371,4061244837,10.37,10.45,10.33,10.45,0.15,15556
2020-05-15,00632R,272945500,2839058219,10.35,10.5,10.33,10.38,-0.07,10284
2020-05-18,00632R,97749501,1018089365,10.42,10.47,10.36,10.42,0.04,5858
2020-05-19,00632R,71952400,740234307,10.24,10.34,10.24,10.3,-0.12,6456
2020-05-20,00632R,71041440,729813224,10.27,10.32,10.24,10.29,-0.01,6188
2020-05-21,00632R,101219488,1031404946,10.24,10.24,10.15,10.18,-0.11,11452
2020-05-22,00632R,100094100,1033885821,10.24,10.4,10.23,10.39,0.21,9658
2020-05-25,00632R,77927037,807652789,10.32,10.46,10.28,10.3,-0.09,7539
2020-05-26,00632R,152930220,1552777596,10.23,10.24,10.12,10.14,-0.16,13998
2020-05-27,00632R,52832042,536098703,10.14,10.2,10.1,10.15,0.01,4804
2020-05-28,00632R,73170538,744365017,10.1,10.27,10.08,10.22,0.07,7282
2020-05-29,00632R,74800008,766641030,10.27,10.31,10.2,10.2,-0.02,5620
2020-06-01,00632R,120780558,1217706740,10.14,10.15,10.04,10.07,-0.13,11152
2020-06-02,00632R,89232884,894946329,10.05,10.06,10.0,10.03,-0.04,6925
2020-06-03,00632R,214891568,2127203264,9.94,9.95,9.85,9.86,-0.17,21320
2020-06-04,00632R,106789996,1046744133,9.78,9.86,9.76,9.79,-0.07,9901
2020-06-05,00632R,116544345,1135278087,9.79,9.79,9.7,9.7,-0.09,11818
2020-06-08,00632R,196190902,1889189558,9.63,9.7,9.58,9.63,-0.07,12431
2020-06-09,00632R,89390176,859906017,9.62,9.68,9.59,9.6,-0.03,7411
2020-06-10,00632R,135968899,1296759521,9.6,9.62,9.5,9.51,-0.09,12350
2020-06-11,00632R,184314600,1769999389,9.52,9.71,9.49,9.7,0.19,13758
2020-06-12,00632R,257395008,2526509437,9.87,9.89,9.73,9.76,0.06,19467
2020-06-15,00632R,162310542,1593026672,9.79,9.9,9.73,9.9,0.14,12039
2020-06-16,00632R,172287728,1667627399,9.74,9.75,9.63,9.64,-0.26,14094
2020-06-17,00632R,104536157,1010152277,9.64,9.7,9.62,9.64,0.0,6766
2020-06-18,00632R,107701683,1036756103,9.62,9.69,9.58,9.6,-0.04,7757
2020-06-19,00632R,46996382,450928781,9.59,9.63,9.57,9.59,-0.01,4603
2020-06-22,00632R,83561873,799207007,9.61,9.61,9.52,9.58,-0.01,6698
2020-06-23,00632R,85701997,818109529,9.51,9.63,9.48,9.54,-0.04,6621
2020-06-24,00632R,124013821,1176267048,9.49,9.51,9.45,9.49,-0.05,8047
2020-06-29,00632R,149179615,1433486503,9.59,9.66,9.54,9.62,0.13,8820
2020-06-30,00632R,83334583,795248836,9.54,9.58,9.5,9.52,-0.1,5298
2020-07-01,00632R,119524420,1128555417,9.51,9.51,9.4,9.44,-0.08,11914
2020-07-02,00632R,136061037,1273873034,9.43,9.45,9.33,9.33,-0.11,12453
