date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,00688L,168000,3944190,23.47,23.51,23.42,23.51,-0.34,22
2020-01-03,00688L,486000,11745060,23.93,24.35,23.93,24.34,0.83,63
2020-01-06,00688L,331000,8191640,24.74,24.81,24.72,24.77,0.43,41
2020-01-07,00688L,119000,2888850,24.35,24.35,24.26,24.29,-0.48,18
2020-01-08,00688L,233000,5694750,24.88,24.88,24.31,24.42,0.13,39
2020-01-09,00688L,348000,8273390,23.74,23.81,23.74,23.79,-0.63,32
2020-01-10,00688L,321000,7639700,23.79,23.82,23.78,23.82,0.03,9
2020-01-13,00688L,141000,3422720,24.26,24.28,24.25,24.27,0.45,18
2020-01-14,00688L,106000,2546010,24.04,24.04,23.98,24.02,-0.25,8
2020-01-15,00688L,174000,4244380,24.33,24.43,24.33,24.43,0.41,24
2020-01-16,00688L,218000,5352270,24.49,24.56,24.49,24.55,0.12,13
2020-01-17,00688L,198000,4768900,24.22,24.22,24.06,24.17,-0.38,27
2020-01-20,00688L,122000,2947320,24.14,24.18,24.14,24.16,-0.01,5
2020-01-30,00688L,691000,18082220,26.0,26.5,25.65,26.41,2.25,117
2020-01-31,00688L,159000,4173480,26.17,26.36,26.13,26.35,-0.06,49
2020-02-03,00688L,169000,4513710,26.8,26.8,26.59,26.6,0.25,27
2020-02-04,00688L,326000,8712380,26.74,26.81,26.6,26.65,0.05,39
2020-02-05,00688L,233000,6084890,26.14,26.16,26.04,26.16,-0.49,29
2020-02-06,00688L,225000,5730680,25.55,25.59,25.36,25.38,-0.78,31
2020-02-07,00688L,218000,5643640,25.8,25.93,25.8,25.92,0.54,19
2020-02-10,00688L,238000,6279040,26.52,26.54,26.26,26.35,0.43,49
2020-02-11,00688L,131000,3456110,26.35,26.39,26.32,26.39,0.04,7
2020-02-12,00688L,161000,4197030,26.08,26.08,26.04,26.08,-0.31,24
2020-02-13,00688L,550000,14385120,26.11,26.21,26.11,26.18,0.1,29
2020-02-14,00688L,156000,4085520,26.17,26.2,26.17,26.2,0.02,4
2020-02-17,00688L,136000,3584360,26.33,26.39,26.32,26.39,0.19,10
2020-02-18,00688L,328000,8795910,26.68,26.87,26.68,26.82,0.43,26
2020-02-19,00688L,169000,4522420,26.77,26.83,26.73,26.74,-0.08,11
2020-02-20,00688L,201000,5372470,26.57,26.87,26.57,26.87,0.13,25
2020-02-21,00688L,198000,5445440,27.38,27.54,27.37,27.54,0.67,20
2020-02-24,00688L,129000,3626830,28.1,28.18,28.04,28.04,0.5,16
2020-02-25,00688L,197000,5593310,28.41,28.46,28.25,28.39,0.35,30
2020-02-26,00688L,190000,5416480,28.84,28.98,28.43,28.52,0.13,33
2020-02-27,00688L,190000,5513870,28.77,29.11,28.77,29.03,0.51,30
2020-03-02,00688L,229000,6993180,31.09,31.16,30.25,30.43,1.4,48
2020-03-03,00688L,142000,4254220,29.71,30.04,29.71,29.99,-0.44,22
2020-03-04,00688L,985000,30364220,30.76,30.93,30.6,30.71,0.72,41
2020-03-05,00688L,111000,3357860,30.01,30.27,30.01,30.21,-0.5,10
2020-03-06,00688L,162000,5254340,31.81,32.98,31.8,32.98,2.77,27
2020-03-09,00688L,96000,3724160,38.06,39.28,38.06,39.09,6.11,33
2020-03-10,00688L,206000,7404460,35.8,36.13,35.45,35.45,-3.64,39
2020-03-11,00688L,211000,7355160,34.38,35.14,34.24,35.14,-0.31,34
2020-03-12,00688L,187000,6281650,33.08,33.95,33.08,33.95,-1.19,35
