date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,00785B,200000,9013000,45.08,45.08,45.05,45.05,-0.1,6
2020-01-03,00785B,672000,30435590,45.28,45.63,45.16,45.18,0.13,73
2020-01-06,00785B,205000,9324280,45.4,45.53,45.37,45.48,0.3,10
2020-01-07,00785B,205000,9237340,45.07,45.07,45.06,45.06,-0.42,8
2020-01-08,00785B,216000,9713520,44.97,44.97,44.97,44.97,-0.09,6
2020-01-09,00785B,202000,9007200,44.61,44.61,44.59,44.59,-0.38,6
2020-01-10,00785B,200000,8972000,44.89,44.89,44.83,44.83,0.24,4
2020-01-13,00785B,214000,9649470,45.12,45.12,45.06,45.11,0.28,9
2020-01-14,00785B,301000,13522700,44.91,44.94,44.9,44.92,-0.19,16
2020-01-15,00785B,200000,9030000,45.15,45.15,45.15,45.15,0.23,4
2020-01-16,00785B,204000,9237180,45.29,45.3,45.28,45.28,0.13,6
2020-01-17,00785B,260000,11754100,45.24,45.24,45.2,45.21,-0.07,10
2020-01-20,00785B,200000,9059000,45.3,45.3,45.29,45.29,0.08,4
2020-01-30,00785B,165000,7662230,46.39,46.49,46.38,46.42,0.0,20
2020-01-31,00785B,203000,9419060,46.31,46.43,46.31,46.4,-0.02,7
2020-02-03,00785B,100000,4660000,46.6,46.6,46.6,46.6,0.2,2
2020-02-04,00785B,202000,9394110,46.58,46.58,46.5,46.51,-0.09,6
2020-02-05,00785B,201000,9243000,46.0,46.0,45.98,45.99,-0.52,5
2020-02-06,00785B,255000,11641910,45.75,45.75,45.63,45.63,-0.36,12
2020-02-07,00785B,201000,9265420,45.92,46.13,45.92,46.13,0.5,7
2020-02-10,00785B,256000,11886470,46.52,46.52,46.4,46.41,0.28,14
2020-02-11,00785B,200000,9276000,46.38,46.38,46.38,46.38,-0.03,6
2020-02-12,00785B,216000,9960980,46.18,46.18,46.11,46.11,-0.27,8
2020-02-13,00785B,236000,10901640,46.21,46.21,46.11,46.2,0.09,24
2020-02-14,00785B,220000,10174700,46.24,46.25,46.23,46.25,0.05,9
2020-02-17,00785B,250000,11593670,46.4,46.4,46.35,46.38,0.13,11
2020-02-18,00785B,221000,10278480,46.38,46.52,46.38,46.52,0.14,7
2020-02-19,00785B,220000,10296800,46.79,46.81,46.79,46.81,0.29,8
2020-02-20,00785B,282000,13227820,46.88,46.93,46.85,46.91,0.1,15
2020-02-21,00785B,251000,11856620,47.21,47.24,47.21,47.24,0.33,10
2020-02-24,00785B,217000,10334190,47.59,47.64,47.59,47.64,0.4,10
2020-02-25,00785B,240000,11396050,47.57,47.57,47.44,47.48,-0.16,25
2020-02-26,00785B,123000,5805520,47.46,47.46,47.19,47.19,-0.29,6
2020-02-27,00785B,131000,6194910,47.08,47.3,47.08,47.29,0.1,8
2020-03-02,00785B,167000,7849810,46.97,47.02,46.97,47.01,-0.28,69
2020-03-03,00785B,237000,11064860,46.96,46.96,46.56,46.71,-0.3,8
2020-03-04,00785B,200000,9390000,46.95,46.95,46.95,46.95,0.24,4
2020-03-05,00785B,330000,15537900,46.96,47.1,46.94,47.09,0.14,27
2020-03-06,00785B,103000,4881920,47.14,47.4,47.14,47.4,0.31,4
2020-03-09,00785B,104000,5048460,48.65,48.71,48.54,48.54,1.14,6
2020-03-10,00785B,137000,6410920,47.12,47.12,46.52,46.52,-2.02,31
2020-03-11,00785B,100000,4603000,46.03,46.03,46.03,46.03,-0.49,2
2020-03-12,00785B,320000,14125000,44.15,44.15,44.14,44.14,-1.89,6
2020-03-13,00785B,221000,9327120,42.24,42.32,42.2,42.32,-1.82,4
2020-03-16,00785B,204000,8506750,41.74,41.74,41.63,41.7,-0.62,5
2020-03-17,00785B,200000,8330000,41.65,41.65,41.65,41.65,-0.05,2
2020-03-18,00785B,201000,8066150,40.15,40.15,40.13,40.13,-1.52,3
2020-03-19,00785B,602000,22454700,37.7,37.7,37.0,37.3,-2.83,6
2020-03-20,00785B,603000,21225660,35.2,35.22,35.2,35.22,-2.08,7
2020-03-23,00785B,301000,10685580,35.58,35.58,35.5,35.5,0.28,3
2020-03-24,00785B,200000,7220000,36.1,36.1,36.1,36.1,0.6,2
2020-03-25,00785B,267000,10202530,38.4,38.4,37.58,38.23,2.13,17
2020-03-26,00785B,145000,5916800,41.58,41.58,40.03,40.53,2.3,37
2020-03-27,00785B,101000,4130530,40.53,40.9,40.53,40.9,0.37,3
2020-03-30,00785B,152000,6435110,40.9,42.56,40.9,42.56,1.66,5
2020-03-31,00785B,2000,84940,42.45,42.49,42.45,42.49,-0.07,2
2020-04-01,00785B,2000,85280,42.45,42.83,42.45,42.83,0.34,2
2020-04-06,00785B,102000,4473580,43.79,43.86,43.79,43.86,1.03,3
2020-04-07,00785B,101000,4358480,42.48,43.16,42.48,43.16,-0.7,3
2020-04-08,00785B,10000,433500,43.35,43.35,43.35,43.35,0.19,2
2020-04-09,00785B,1000,43800,43.8,43.8,43.8,43.8,0.45,1
2020-04-10,00785B,35000,1589000,44.92,45.8,44.92,45.8,2.0,5
2020-04-14,00785B,269000,12368720,45.96,46.13,45.9,46.1,0.52,15
2020-04-15,00785B,130000,5989770,46.07,46.1,45.98,46.1,0.0,5
2020-04-16,00785B,202000,9332200,46.1,46.2,46.1,46.2,0.1,5
2020-04-17,00785B,134000,6151280,45.82,45.95,45.74,45.95,-0.25,36
2020-04-20,00785B,108000,4890940,45.29,45.3,45.06,45.3,-0.65,4
2020-04-21,00785B,102000,4614990,45.03,45.25,44.96,45.25,-0.05,4
2020-04-22,00785B,100000,4480000,44.8,44.8,44.8,44.8,0.0,2
