date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,2882A,137612,8829106,64.2,64.2,64.1,64.2,0.0,26
2020-01-03,2882A,155167,9961553,64.2,64.2,64.1,64.2,0.0,24
2020-01-06,2882A,115155,7381620,64.1,64.2,64.1,64.2,0.0,13
2020-01-07,2882A,255798,16411331,64.1,64.2,64.1,64.1,-0.1,21
2020-01-08,2882A,13068,836552,63.9,64.1,63.9,64.1,0.0,10
2020-01-09,2882A,67900,4352776,64.1,64.2,64.1,64.2,0.1,23
2020-01-10,2882A,9035,579032,64.1,64.2,64.1,64.2,0.0,8
2020-01-13,2882A,197212,12641746,64.2,64.2,64.1,64.2,0.0,15
2020-01-14,2882A,123160,7898108,64.2,64.2,64.1,64.2,0.0,20
2020-01-15,2882A,256046,16437944,64.2,64.2,64.2,64.2,0.0,29
2020-01-16,2882A,121796,7819144,64.2,64.2,64.2,64.2,0.0,11
2020-01-17,2882A,143584,9216616,64.2,64.2,64.1,64.2,0.0,20
2020-01-20,2882A,394085,25293440,64.2,64.2,64.1,64.1,-0.1,38
2020-01-30,2882A,449899,28772155,64.0,64.1,63.8,64.0,-0.1,62
2020-01-31,2882A,209978,13451793,64.0,64.2,64.0,64.2,0.2,44
2020-02-03,2882A,862096,55369944,64.1,64.3,64.1,64.3,0.1,100
2020-02-04,2882A,909997,58505708,64.2,64.4,64.1,64.3,0.0,102
2020-02-05,2882A,738542,47526439,64.3,64.4,64.3,64.4,0.1,90
2020-02-06,2882A,394660,25417670,64.4,64.5,64.4,64.5,0.1,126
2020-02-07,2882A,120000,7741600,64.5,64.6,64.5,64.5,0.0,85
2020-02-10,2882A,229338,14791932,64.4,64.5,64.4,64.5,0.0,69
2020-02-11,2882A,287013,18539837,64.5,64.6,64.5,64.6,0.1,83
2020-02-12,2882A,25049,1618047,64.6,64.7,64.6,64.6,0.0,18
2020-02-13,2882A,18537,1197327,64.6,64.6,64.6,64.6,0.0,9
2020-02-14,2882A,31922,2061296,64.6,64.7,64.6,64.7,0.1,24
2020-02-17,2882A,35477,2292117,64.7,64.7,64.6,64.7,0.0,9
2020-02-18,2882A,69391,4489519,64.7,64.7,64.7,64.7,0.0,14
2020-02-19,2882A,338760,21917743,64.6,64.8,64.6,64.8,0.1,44
2020-02-20,2882A,151908,9843174,64.8,64.8,64.7,64.8,0.0,28
2020-02-21,2882A,37768,2444559,64.7,64.8,64.7,64.8,0.0,11
2020-02-24,2882A,274074,17760287,64.7,64.9,64.7,64.9,0.1,54
2020-02-25,2882A,115099,7467694,64.8,64.9,64.8,64.9,0.0,20
2020-02-26,2882A,155028,10056111,64.8,64.9,64.8,64.9,0.0,32
2020-02-27,2882A,320311,20754382,64.8,64.9,64.7,64.9,0.0,18
2020-03-02,2882A,269147,17458010,64.8,64.9,64.7,64.9,0.0,56
2020-03-03,2882A,137198,8900449,64.8,64.9,64.8,64.9,0.0,27
2020-03-04,2882A,97319,6310796,64.8,64.9,64.8,64.9,0.0,88
2020-03-05,2882A,133095,8637511,64.8,64.9,64.8,64.9,0.0,71
2020-03-06,2882A,165163,10718302,64.8,64.9,64.8,64.9,0.0,223
2020-03-09,2882A,149980,9732492,64.9,64.9,64.8,64.9,0.0,335
2020-03-10,2882A,178948,11609659,64.9,64.9,64.8,64.9,0.0,331
2020-03-11,2882A,80205,5201920,64.8,64.9,64.8,64.9,0.0,227
2020-03-12,2882A,256753,16525892,64.8,64.8,64.1,64.4,-0.5,85
2020-03-13,2882A,565225,35844424,63.9,63.9,62.9,63.6,-0.8,210
2020-03-16,2882A,649775,40889869,63.2,63.2,62.6,62.8,-0.8,668
2020-03-17,2882A,622537,38560782,62.1,62.2,61.8,61.8,-1.0,367
2020-03-18,2882A,993727,61277385,61.6,61.9,61.4,61.6,-0.2,303
2020-03-19,2882A,1735295,104242505,61.1,61.2,59.1,59.2,-2.4,364
2020-03-20,2882A,547478,33144619,60.0,60.7,60.0,60.5,1.3,134
2020-03-23,2882A,639344,38366940,60.3,60.3,59.4,60.1,-0.4,113
2020-03-24,2882A,377709,22898440,60.1,60.8,60.1,60.8,0.7,859
2020-03-25,2882A,674894,41081254,61.4,61.5,60.7,60.8,0.0,173
2020-03-26,2882A,592280,35875539,60.9,60.9,60.4,60.5,-0.3,161
2020-03-27,2882A,383805,23260620,60.5,60.8,60.4,60.6,0.1,173
2020-03-30,2882A,430212,25924141,60.5,60.6,60.1,60.5,-0.1,107
2020-03-31,2882A,223727,13588070,60.5,60.9,60.5,60.8,0.3,113
2020-04-01,2882A,50388,3069168,60.8,61.0,60.8,61.0,0.2,53
2020-04-06,2882A,327304,19886354,61.0,61.0,60.6,60.9,-0.1,221
2020-04-07,2882A,297540,18105640,60.9,61.0,60.8,61.0,0.1,124
2020-04-08,2882A,453165,27596644,61.0,61.1,60.8,60.9,-0.1,171
2020-04-09,2882A,380908,23214388,60.9,61.1,60.9,61.0,0.1,182
2020-04-10,2882A,343072,21063628,61.2,61.5,61.2,61.5,0.5,156
2020-04-13,2882A,266106,16351807,61.5,61.6,61.3,61.6,0.1,131
2020-04-14,2882A,281990,17353087,61.6,61.6,61.5,61.6,0.0,144
2020-04-15,2882A,464789,28623284,61.6,61.7,61.5,61.7,0.1,204
2020-04-16,2882A,154845,9552261,61.6,61.8,61.6,61.8,0.1,436
2020-04-17,2882A,384143,23883622,61.8,62.5,61.7,62.4,0.6,130
2020-04-20,2882A,180316,11231373,62.2,62.4,62.2,62.4,0.0,294
2020-04-21,2882A,388550,24105228,62.2,62.2,61.9,62.0,-0.4,602
