date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,2887E,116160,6518512,55.5,56.2,55.5,56.0,0.6,36
2020-01-03,2887E,90202,5047950,55.7,56.0,55.7,56.0,0.0,18
2020-01-06,2887E,174010,9714957,55.6,56.0,55.6,56.0,0.0,82
2020-01-07,2887E,104148,5821658,55.9,55.9,55.8,55.9,-0.1,96
2020-01-08,2887E,20587,1146552,55.6,55.8,55.6,55.8,-0.1,16
2020-01-09,2887E,68027,3795303,55.8,55.8,55.7,55.8,0.0,10
2020-01-10,2887E,8675,483229,55.7,55.8,55.7,55.7,-0.1,8
2020-01-13,2887E,83558,4653423,55.8,55.8,55.6,55.7,0.0,23
2020-01-14,2887E,50190,2796764,55.6,55.8,55.6,55.8,0.1,24
2020-01-15,2887E,163108,9086504,55.8,55.8,55.7,55.8,0.0,14
2020-01-16,2887E,47082,2625459,55.7,55.8,55.7,55.8,0.0,14
2020-01-17,2887E,99618,5573021,55.8,56.0,55.8,55.9,0.1,16
2020-01-20,2887E,32600,1822337,55.9,55.9,55.9,55.9,0.0,21
2020-01-30,2887E,186822,10408220,55.7,55.9,55.4,55.6,-0.3,58
2020-01-31,2887E,38315,2134419,55.6,55.9,55.6,55.9,0.3,26
2020-02-03,2887E,563640,31549285,55.8,56.0,55.8,56.0,0.1,84
2020-02-04,2887E,629695,35296048,56.0,56.1,55.9,56.1,0.1,74
2020-02-05,2887E,285788,16032205,56.1,56.1,56.0,56.1,0.0,83
2020-02-06,2887E,169379,9500447,56.1,56.1,56.0,56.1,0.0,65
2020-02-07,2887E,371255,20797478,56.1,56.2,56.0,56.0,-0.1,77
2020-02-10,2887E,296654,16618124,56.0,56.1,56.0,56.0,0.0,73
2020-02-11,2887E,231001,12957255,56.0,56.1,56.0,56.1,0.1,72
2020-02-12,2887E,187300,10522337,56.1,56.2,56.1,56.2,0.1,56
2020-02-13,2887E,238407,13395751,56.2,56.3,55.6,56.3,0.1,74
2020-02-14,2887E,334311,18820484,56.2,56.3,56.2,56.3,0.0,79
2020-02-17,2887E,56387,3168872,56.2,56.2,56.2,56.2,-0.1,38
2020-02-18,2887E,34000,1910800,56.2,56.2,56.2,56.2,0.0,28
2020-02-19,2887E,72192,4058232,56.2,56.3,56.2,56.2,0.0,16
2020-02-20,2887E,163848,9221072,56.2,56.3,56.2,56.3,0.1,24
2020-02-21,2887E,158820,8941220,56.2,56.3,56.2,56.3,0.0,26
2020-02-24,2887E,90894,5108764,56.1,56.3,56.1,56.3,0.0,81
2020-02-25,2887E,29044,1633164,56.2,56.3,56.2,56.2,-0.1,11
2020-02-26,2887E,43000,2417100,56.2,56.3,56.2,56.3,0.1,13
2020-02-27,2887E,259762,14633418,56.3,56.5,56.3,56.4,0.1,44
2020-03-02,2887E,82482,4643398,56.3,56.3,56.3,56.3,-0.1,23
2020-03-03,2887E,34411,1937697,56.3,56.4,56.3,56.3,0.0,19
2020-03-04,2887E,141499,7970192,56.4,56.5,56.3,56.5,0.2,55
2020-03-05,2887E,446388,25217766,56.5,56.5,56.4,56.5,0.0,47
2020-03-06,2887E,334066,18874809,56.5,56.6,56.5,56.5,0.0,31
2020-03-09,2887E,288276,16279411,56.4,56.6,56.4,56.5,0.0,41
2020-03-10,2887E,265398,14992826,56.5,56.6,56.4,56.5,0.0,56
2020-03-11,2887E,16355,924285,56.5,56.6,56.5,56.5,0.0,16
2020-03-12,2887E,282673,15843550,56.5,56.5,55.7,55.8,-0.7,100
2020-03-13,2887E,478690,26049605,54.7,55.0,53.6,55.0,-0.8,201
2020-03-16,2887E,304966,16410479,54.2,54.2,53.5,53.5,-1.5,157
2020-03-17,2887E,515425,27180554,52.6,53.4,52.3,52.8,-0.7,265
2020-03-18,2887E,239623,12669307,52.8,53.3,52.5,52.7,-0.1,134
2020-03-19,2887E,673247,34089372,52.3,52.3,50.1,50.1,-2.6,273
2020-03-20,2887E,292819,15005112,50.3,51.9,50.3,51.9,1.8,131
2020-03-23,2887E,113652,5798752,50.9,51.5,50.5,51.2,-0.7,68
2020-03-24,2887E,117680,6067214,51.2,51.8,51.2,51.6,0.4,59
2020-03-25,2887E,697497,36023292,52.6,52.8,51.3,51.9,0.3,150
2020-03-26,2887E,491655,25291700,52.0,52.0,51.0,51.3,-0.6,192
2020-03-27,2887E,228620,11832391,51.8,52.0,51.6,51.7,0.4,86
2020-03-30,2887E,163011,8422463,51.3,52.2,51.3,51.6,-0.1,74
2020-03-31,2887E,59021,3061385,51.9,52.0,51.7,51.9,0.3,30
2020-04-01,2887E,149150,7750700,52.0,52.0,51.9,52.0,0.1,47
2020-04-06,2887E,70640,3651650,51.9,51.9,51.5,51.8,-0.2,41
2020-04-07,2887E,112042,5819084,52.0,52.2,51.8,52.0,0.2,63
2020-04-08,2887E,262000,13626900,51.8,52.1,51.8,52.0,0.0,71
2020-04-09,2887E,110138,5744245,52.0,52.2,52.0,52.2,0.2,45
2020-04-10,2887E,204656,10764507,52.4,52.7,52.3,52.7,0.5,76
2020-04-13,2887E,108267,5677684,52.8,52.8,52.1,52.3,-0.4,63
2020-04-14,2887E,100173,5254763,52.4,52.6,52.4,52.4,0.1,50
2020-04-15,2887E,66030,3471071,52.6,52.7,52.5,52.6,0.2,35
2020-04-16,2887E,85710,4521074,52.6,53.0,52.6,53.0,0.4,44
2020-04-17,2887E,150505,8011164,53.2,53.4,53.1,53.4,0.4,56
2020-04-20,2887E,103420,5520426,53.4,53.4,53.3,53.4,0.0,26
2020-04-21,2887E,130259,6916752,53.4,53.4,52.8,53.2,-0.2,64
2020-04-22,2887E,125120,6612412,52.7,53.0,52.6,53.0,-0.2,47
2020-04-23,2887E,157110,8339618,52.9,53.2,52.9,53.1,0.1,37
2020-04-24,2887E,161370,8570582,53.1,53.2,53.0,53.2,0.1,30
2020-04-27,2887E,223100,11880820,53.3,53.5,53.1,53.4,0.2,67
2020-04-28,2887E,122706,6567939,53.4,53.6,53.4,53.6,0.2,36
2020-04-29,2887E,44218,2373640,53.6,53.8,53.6,53.8,0.2,30
2020-04-30,2887E,233105,12580148,53.9,54.2,53.8,54.2,0.4,57
2020-05-04,2887E,63500,3425598,53.8,54.1,53.7,54.1,-0.1,37
2020-05-05,2887E,84053,4546471,54.1,54.2,54.0,54.2,0.1,30
2020-05-06,2887E,39079,2110050,54.0,54.2,53.9,54.2,0.0,18
2020-05-07,2887E,74035,4006985,54.0,54.2,54.0,54.2,0.0,32
2020-05-08,2887E,83694,4550876,54.3,54.5,54.3,54.4,0.2,33
2020-05-11,2887E,91122,4959936,54.5,54.5,54.4,54.5,0.1,37
2020-05-12,2887E,83407,4532698,54.4,54.4,54.3,54.4,-0.1,37
