date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,2887F,4842,263501,54.4,54.5,54.4,54.5,0.0,16
2020-01-03,2887F,12520,680887,54.4,54.5,54.3,54.5,0.0,15
2020-01-06,2887F,11172,606722,54.3,54.4,54.3,54.4,-0.1,7
2020-01-07,2887F,100030,5441626,54.4,54.4,54.4,54.4,0.0,5
2020-01-08,2887F,49753,2706136,54.2,54.5,54.2,54.5,0.1,20
2020-01-09,2887F,2344,127676,54.5,54.5,54.5,54.5,0.0,7
2020-01-10,2887F,7664,415886,54.2,54.5,54.2,54.5,0.0,15
2020-01-13,2887F,11,595,0.0,0.0,0.0,0.0,0.0,1
2020-01-14,2887F,17393,947638,54.5,54.5,54.4,54.5,0.0,13
2020-01-15,2887F,29304,1596767,54.4,54.5,54.4,54.5,0.0,16
2020-01-16,2887F,9562,519548,54.4,54.4,54.4,54.4,-0.1,13
2020-01-17,2887F,2565,139422,54.4,54.4,54.4,54.4,0.0,4
2020-01-20,2887F,19778,1075041,54.4,54.4,54.3,54.4,0.0,19
2020-01-30,2887F,75237,4075298,53.8,54.4,53.8,54.3,-0.1,37
2020-01-31,2887F,22988,1244453,54.1,54.3,54.1,54.3,0.0,16
2020-02-03,2887F,73555,3988557,54.1,54.3,54.1,54.3,0.0,31
2020-02-04,2887F,5177,281210,54.3,54.4,54.3,54.4,0.1,6
2020-02-05,2887F,32548,1770345,54.3,54.5,54.3,54.5,0.1,19
2020-02-06,2887F,326151,17775583,54.5,54.6,54.5,54.6,0.1,29
2020-02-07,2887F,21670,1182812,54.5,54.7,54.5,54.7,0.1,26
2020-02-10,2887F,14083,770121,54.7,54.7,54.7,54.7,0.0,21
2020-02-11,2887F,17336,948277,54.7,54.8,54.7,54.8,0.1,19
2020-02-12,2887F,54420,2976945,54.9,54.9,54.7,54.8,0.0,62
2020-02-13,2887F,48000,2625700,54.7,54.8,54.7,54.8,0.0,47
2020-02-14,2887F,41584,2274269,54.5,54.9,54.5,54.9,0.1,43
2020-02-17,2887F,37042,2025983,54.7,54.8,54.7,54.8,-0.1,41
2020-02-18,2887F,145694,7983923,54.8,54.9,54.8,54.9,0.1,50
2020-02-19,2887F,7083,388338,54.9,54.9,54.8,54.9,0.0,11
2020-02-20,2887F,103313,5671987,54.9,55.0,54.9,55.0,0.1,17
2020-02-21,2887F,11925,655076,54.9,55.0,54.9,55.0,0.0,19
2020-02-24,2887F,39141,2147511,54.9,55.0,54.6,55.0,0.0,18
2020-02-25,2887F,159237,8742363,54.9,55.0,54.9,55.0,0.0,13
2020-02-26,2887F,38001,2086254,54.9,54.9,54.9,54.9,-0.1,8
2020-02-27,2887F,28161,1546122,54.9,55.0,54.9,54.9,0.0,14
2020-03-02,2887F,45508,2489531,54.8,54.8,53.7,54.8,-0.1,23
2020-03-03,2887F,22896,1254841,54.8,54.9,54.8,54.9,0.1,19
2020-03-04,2887F,5369,293471,54.9,54.9,54.8,54.9,0.0,11
2020-03-05,2887F,23382,1283619,54.9,55.0,54.9,54.9,0.0,17
2020-03-06,2887F,19292,1058327,54.9,55.0,54.8,55.0,0.1,19
2020-03-09,2887F,210930,11598785,54.7,55.1,54.5,55.0,0.0,42
2020-03-10,2887F,136877,7527581,55.0,55.1,55.0,55.0,0.0,42
2020-03-11,2887F,3107,171031,55.1,55.1,55.0,55.0,0.0,4
2020-03-12,2887F,126120,6901213,54.5,54.8,54.3,54.6,-0.4,45
2020-03-13,2887F,184843,9776379,53.6,54.2,52.5,53.3,-1.3,116
2020-03-16,2887F,250198,13107770,53.3,53.3,51.9,51.9,-1.4,100
2020-03-17,2887F,254193,12940720,51.3,51.3,50.4,51.2,-0.7,159
2020-03-18,2887F,313874,16321374,51.0,52.5,51.0,51.5,0.3,145
2020-03-19,2887F,986313,49402720,51.1,51.2,49.45,49.45,-2.05,216
2020-03-20,2887F,345519,17418941,50.1,50.6,50.1,50.3,0.85,73
2020-03-23,2887F,118949,5941858,50.1,50.2,49.8,50.2,-0.1,69
2020-03-24,2887F,142489,7217294,50.2,51.0,50.2,50.7,0.5,70
2020-03-25,2887F,59903,3047560,51.0,51.2,50.8,50.9,0.2,41
2020-03-26,2887F,70980,3597984,50.8,50.8,50.6,50.7,-0.2,35
2020-03-27,2887F,22345,1134156,50.7,50.8,50.7,50.8,0.1,20
2020-03-30,2887F,26000,1317700,50.3,50.8,50.3,50.8,0.0,10
2020-03-31,2887F,43980,2233082,50.8,51.0,50.7,50.8,0.0,14
2020-04-01,2887F,28000,1422500,50.7,50.9,50.7,50.9,0.1,15
2020-04-06,2887F,10902,552270,50.8,50.9,50.6,50.8,-0.1,10
2020-04-07,2887F,23310,1185710,50.9,50.9,50.8,50.8,0.0,21
2020-04-08,2887F,80701,4090978,50.8,50.9,50.6,50.9,0.1,32
2020-04-09,2887F,105980,5385681,50.8,51.0,50.7,51.0,0.1,57
2020-04-10,2887F,119621,6110955,51.0,51.2,50.9,51.0,0.0,49
2020-04-13,2887F,57700,2933657,51.0,51.0,50.8,50.8,-0.2,44
2020-04-14,2887F,73061,3718511,50.8,51.0,50.7,51.0,0.2,32
2020-04-15,2887F,79158,4045571,51.0,51.3,51.0,51.3,0.3,41
2020-04-16,2887F,47352,2424380,51.3,51.3,51.1,51.3,0.0,32
2020-04-17,2887F,76639,3946989,51.5,51.6,51.3,51.5,0.2,37
2020-04-20,2887F,47602,2451961,51.4,51.6,51.4,51.5,0.0,28
2020-04-21,2887F,85135,4373310,51.4,51.5,51.2,51.3,-0.2,33
2020-04-22,2887F,129610,6638832,51.2,51.3,51.2,51.3,0.0,14
2020-04-23,2887F,26529,1361082,51.3,51.4,51.3,51.4,0.1,12
2020-04-24,2887F,15181,780212,51.4,51.4,51.4,51.4,0.0,3
2020-04-27,2887F,54119,2788815,51.4,51.7,51.4,51.7,0.3,21
2020-04-28,2887F,126388,6559235,51.5,52.0,51.5,52.0,0.3,47
2020-04-29,2887F,50895,2648917,52.0,52.2,52.0,52.2,0.2,26
2020-04-30,2887F,63801,3328230,52.2,52.4,52.1,52.4,0.2,35
2020-05-04,2887F,10336,538504,52.0,52.3,52.0,52.3,-0.1,11
2020-05-05,2887F,51300,2673200,52.2,52.3,52.0,52.2,-0.1,24
2020-05-06,2887F,27337,1422356,52.0,52.1,52.0,52.1,-0.1,19
2020-05-07,2887F,21700,1129000,52.0,52.1,52.0,52.1,0.0,20
2020-05-08,2887F,49124,2563460,52.1,52.3,52.1,52.3,0.2,24
2020-05-11,2887F,42378,2219603,52.3,52.5,52.3,52.5,0.2,27
2020-05-12,2887F,34417,1804766,52.4,52.5,52.4,52.5,0.0,18
2020-05-13,2887F,32600,1706119,52.4,52.5,52.2,52.5,0.0,23
2020-05-14,2887F,34438,1800850,52.4,52.5,52.2,52.4,-0.1,24
2020-05-15,2887F,32200,1683959,52.3,52.4,52.2,52.4,0.0,14
2020-05-18,2887F,5951,311046,52.2,52.4,52.2,52.4,0.0,9
2020-05-19,2887F,50043,2622244,52.4,52.5,52.3,52.4,0.0,24
2020-05-20,2887F,27698,1451472,52.4,52.5,52.4,52.5,0.1,13
2020-05-21,2887F,26137,1370351,52.5,52.5,52.4,52.5,0.0,14
2020-05-22,2887F,44356,2324717,52.5,52.5,52.3,52.4,-0.1,21
2020-05-25,2887F,2460,128511,52.2,52.3,52.2,52.3,-0.1,6
2020-05-26,2887F,49102,2575133,52.4,52.5,52.4,52.5,0.2,25
2020-05-27,2887F,37006,1942113,52.4,52.5,52.4,52.5,0.0,20
2020-05-28,2887F,13695,718577,52.5,52.5,52.4,52.5,0.0,13
2020-05-29,2887F,44001,2311452,52.5,52.6,52.5,52.6,0.1,15
2020-06-01,2887F,45000,2366100,52.6,52.7,52.5,52.7,0.1,33
2020-06-02,2887F,20811,1097137,52.6,52.8,52.6,52.8,0.1,15
2020-06-03,2887F,30945,1636518,52.9,52.9,52.9,52.9,0.1,19
2020-06-04,2887F,46669,2472755,53.0,53.0,52.9,53.0,0.1,22
2020-06-05,2887F,19318,1024090,53.0,53.1,53.0,53.1,0.1,7
2020-06-08,2887F,56716,3008015,53.0,53.2,52.9,53.2,0.1,40
2020-06-09,2887F,12316,654484,53.1,53.2,53.0,53.2,0.0,11
2020-06-10,2887F,84255,4495665,53.3,53.4,53.3,53.4,0.2,26
2020-06-11,2887F,47048,2514548,53.5,53.5,53.3,53.3,-0.1,17
2020-06-12,2887F,49955,2644915,52.8,53.1,52.8,53.1,-0.2,30
2020-06-15,2887F,49000,2599200,53.2,53.2,53.0,53.0,-0.1,21
2020-06-16,2887F,108400,5766137,53.2,53.3,53.1,53.2,0.2,38
2020-06-17,2887F,161246,8599285,53.2,53.5,53.2,53.5,0.3,44
2020-06-18,2887F,43000,2302300,53.5,53.6,53.5,53.6,0.1,14
2020-06-19,2887F,56004,3006913,53.6,53.8,53.6,53.8,0.2,19
2020-06-22,2887F,69253,3722581,53.8,53.8,53.7,53.8,0.0,34
2020-06-23,2887F,69336,3724408,53.8,53.8,53.7,53.7,-0.1,26
2020-06-24,2887F,60150,3229476,53.7,53.7,53.7,53.7,0.0,29
2020-06-29,2887F,110294,5914439,53.7,53.8,53.5,53.6,-0.1,33
2020-06-30,2887F,184404,9923913,53.7,53.9,53.7,53.9,0.3,52
2020-07-01,2887F,324000,17503495,53.9,54.2,53.9,54.0,0.1,85
2020-07-02,2887F,146649,7671402,52.3,52.4,52.2,52.4,0.0,74
2020-07-03,2887F,86256,4523414,52.4,52.6,52.4,52.6,0.2,48
2020-07-06,2887F,67083,3525953,52.6,52.6,52.5,52.6,0.0,30
2020-07-07,2887F,88673,4668032,52.6,52.7,52.6,52.7,0.1,27
2020-07-08,2887F,63177,3327938,52.7,52.7,52.6,52.7,0.0,26
2020-07-09,2887F,40168,2114584,52.5,52.7,52.5,52.7,0.0,20
2020-07-10,2887F,37000,1943700,52.6,52.6,52.5,52.6,-0.1,9
2020-07-13,2887F,103400,5410479,52.6,52.6,52.2,52.5,-0.1,25
2020-07-14,2887F,26425,1386767,52.3,52.5,52.3,52.5,0.0,18
2020-07-15,2887F,306761,16104823,52.5,52.6,52.5,52.6,0.1,301
