date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,2891C,4335,274168,63.4,63.4,63.1,63.3,-0.1,13
2020-01-03,2891C,62582,3950093,63.3,63.3,63.0,63.3,0.0,28
2020-01-06,2891C,61015,3850345,63.2,63.2,63.1,63.2,-0.1,18
2020-01-07,2891C,19040,1201314,63.1,63.1,63.0,63.1,-0.1,16
2020-01-08,2891C,13139,828241,63.1,63.1,63.0,63.1,0.0,13
2020-01-09,2891C,29401,1855763,63.1,63.2,63.1,63.2,0.1,21
2020-01-10,2891C,8329,525225,63.1,63.2,63.1,63.2,0.0,14
2020-01-13,2891C,8021,506416,63.2,63.2,63.1,63.2,0.0,9
2020-01-14,2891C,59100,3735700,63.2,63.3,63.2,63.3,0.1,26
2020-01-15,2891C,159124,10069722,63.2,63.3,63.2,63.3,0.0,31
2020-01-16,2891C,100488,6349943,63.2,63.2,63.1,63.2,-0.1,21
2020-01-17,2891C,325125,20547748,63.2,63.2,63.1,63.2,0.0,29
2020-01-20,2891C,205437,12983297,63.2,63.2,63.1,63.2,0.0,25
2020-01-30,2891C,144377,9107383,63.2,63.2,62.8,63.2,0.0,72
2020-01-31,2891C,410024,25872211,62.8,63.2,62.8,63.1,-0.1,41
2020-02-03,2891C,4942522,311399186,63.0,63.2,62.8,63.2,0.1,123
2020-02-04,2891C,10278,648567,63.0,63.2,63.0,63.1,-0.1,19
2020-02-05,2891C,42044,2660472,63.1,63.4,63.1,63.4,0.3,46
2020-02-06,2891C,66048,4187437,63.4,63.4,63.4,63.4,0.0,74
2020-02-07,2891C,13104,830852,63.4,63.5,63.4,63.4,0.0,14
2020-02-10,2891C,21145,1342235,63.4,63.5,63.4,63.5,0.1,25
2020-02-11,2891C,17569,1116280,63.5,63.6,63.5,63.6,0.1,34
2020-02-12,2891C,14973,950694,63.6,63.6,63.5,63.6,0.0,22
2020-02-13,2891C,28502,1813074,63.4,63.7,63.4,63.6,0.0,29
2020-02-14,2891C,9562,608132,63.6,63.6,63.6,63.6,0.0,34
2020-02-17,2891C,8177,520154,63.6,63.7,63.6,63.7,0.1,16
2020-02-18,2891C,12277,782040,63.7,63.7,63.7,63.7,0.0,26
2020-02-19,2891C,15575,992281,63.7,63.8,63.7,63.8,0.1,25
2020-02-20,2891C,19108,1219288,63.8,63.9,63.8,63.9,0.1,19
2020-02-21,2891C,33624,2148383,63.9,63.9,63.9,63.9,0.0,25
2020-02-24,2891C,5768,368170,63.9,63.9,63.7,63.9,0.0,13
2020-02-25,2891C,9983,636707,63.9,63.9,63.7,63.9,0.0,24
2020-02-26,2891C,5763,367024,63.6,63.9,63.6,63.9,0.0,10
2020-02-27,2891C,11689,744884,63.8,63.8,63.7,63.7,-0.2,23
2020-03-02,2891C,32944,2086684,63.3,63.7,63.1,63.7,0.0,36
2020-03-03,2891C,52461,3346143,63.7,63.9,63.7,63.8,0.1,32
2020-03-04,2891C,13114,836358,63.8,63.9,63.7,63.9,0.1,16
2020-03-05,2891C,30260,1933511,63.9,63.9,63.8,63.9,0.0,22
2020-03-06,2891C,14294,912183,63.8,63.9,63.8,63.9,0.0,18
2020-03-09,2891C,27070,1724744,63.6,63.9,63.6,63.9,0.0,30
2020-03-10,2891C,190460,12170200,63.7,64.0,63.7,63.9,0.0,56
2020-03-11,2891C,105344,6729112,63.7,64.0,63.7,63.9,0.0,46
2020-03-12,2891C,161584,10245119,63.7,63.7,63.0,63.5,-0.4,104
2020-03-13,2891C,308680,19134320,62.6,62.6,61.5,62.3,-1.2,187
2020-03-16,2891C,161331,9927616,61.5,61.8,61.4,61.7,-0.6,122
2020-03-17,2891C,278600,16980135,60.9,61.1,60.7,61.0,-0.7,162
2020-03-18,2891C,360948,22219614,61.0,62.1,60.8,61.5,0.5,210
2020-03-19,2891C,310800,18770414,60.6,61.0,59.9,59.9,-1.6,189
2020-03-20,2891C,65724,3960680,59.5,60.6,59.5,60.2,0.3,68
2020-03-23,2891C,24509,1470387,59.9,60.1,59.9,60.1,-0.1,29
2020-03-24,2891C,52225,3152864,60.0,60.8,60.0,60.8,0.7,56
2020-03-25,2891C,66177,4019323,61.0,61.0,60.6,60.7,-0.1,43
2020-03-26,2891C,249731,15018799,60.6,60.6,60.0,60.5,-0.2,85
2020-03-27,2891C,70561,4271609,60.4,60.7,60.4,60.7,0.2,34
2020-03-30,2891C,107307,6477445,60.1,60.7,60.1,60.7,0.0,39
2020-03-31,2891C,41085,2488433,60.6,60.7,60.5,60.7,0.0,25
2020-04-01,2891C,28619,1732748,60.2,60.8,60.2,60.8,0.1,20
2020-04-06,2891C,22236,1345000,60.5,60.8,60.3,60.8,0.0,22
2020-04-07,2891C,32318,1961339,60.5,60.8,60.5,60.8,0.0,27
2020-04-08,2891C,41330,2512559,60.6,61.0,60.6,61.0,0.2,36
2020-04-09,2891C,31722,1935142,61.2,61.2,60.8,61.1,0.1,36
2020-04-10,2891C,22000,1345900,61.2,61.3,61.1,61.1,0.0,17
2020-04-13,2891C,7610,463886,60.6,61.1,60.6,61.1,0.0,9
2020-04-14,2891C,35735,2191335,61.1,61.5,61.1,61.5,0.4,31
2020-04-15,2891C,18606,1145222,61.3,61.6,61.3,61.6,0.1,31
2020-04-16,2891C,25366,1564676,61.6,61.7,61.6,61.7,0.1,31
2020-04-17,2891C,43808,2714896,61.6,62.0,61.6,62.0,0.3,46
2020-04-20,2891C,136433,8466885,61.9,62.2,61.9,62.2,0.2,37
2020-04-21,2891C,138992,8620404,62.0,62.1,61.7,62.1,-0.1,38
2020-04-22,2891C,125043,7753866,61.8,62.2,61.8,62.2,0.1,33
2020-04-23,2891C,29402,1826862,62.2,62.3,62.1,62.3,0.1,32
2020-04-24,2891C,132000,8224100,62.3,62.4,62.3,62.3,0.0,12
2020-04-27,2891C,17463,1088397,62.3,62.4,62.3,62.4,0.1,15
2020-04-28,2891C,22322,1389614,62.3,62.3,62.1,62.3,-0.1,20
2020-04-29,2891C,107419,6673017,62.4,62.4,62.0,62.0,-0.3,36
2020-04-30,2891C,41160,2554120,62.0,62.4,61.8,62.4,0.4,29
2020-05-04,2891C,21209,1319758,62.1,62.5,62.1,62.5,0.1,19
2020-05-05,2891C,9616,600936,62.4,62.6,62.4,62.6,0.1,14
2020-05-06,2891C,11007,687835,62.4,62.7,62.4,62.7,0.1,11
2020-05-07,2891C,12195,760921,62.3,62.7,62.3,62.7,0.0,16
2020-05-08,2891C,39990,2496569,62.4,62.7,62.4,62.7,0.0,25
2020-05-11,2891C,9601,600999,62.3,62.9,62.3,62.9,0.2,17
2020-05-12,2891C,4092,256766,62.7,62.8,62.7,62.8,-0.1,13
2020-05-13,2891C,11419,714586,62.5,62.8,62.5,62.8,0.0,15
2020-05-14,2891C,13149,824581,62.7,62.8,62.7,62.8,0.0,15
2020-05-15,2891C,17116,1073772,62.4,62.9,62.4,62.9,0.1,17
2020-05-18,2891C,7024,440897,62.8,62.9,62.6,62.9,0.0,9
2020-05-19,2891C,2281,143033,62.6,62.9,62.6,62.9,0.0,5
2020-05-20,2891C,8131,509611,62.6,63.0,62.6,63.0,0.1,13
2020-05-21,2891C,7462,469227,62.9,63.0,62.9,63.0,0.0,12
2020-05-22,2891C,8987,565376,62.9,63.0,62.9,63.0,0.0,23
2020-05-25,2891C,8100,508300,62.6,63.0,62.6,63.0,0.0,7
2020-05-26,2891C,22029,1387212,63.0,63.0,62.9,63.0,0.0,17
2020-05-27,2891C,16847,1059861,62.8,63.0,62.8,63.0,0.0,29
2020-05-28,2891C,50094,3155444,62.9,63.0,62.9,63.0,0.0,37
2020-05-29,2891C,14038,883478,63.0,63.0,62.8,63.0,0.0,15
2020-06-01,2891C,6187,389181,62.8,63.0,62.8,63.0,0.0,15
2020-06-02,2891C,17589,1107443,62.9,63.0,62.9,63.0,0.0,21
2020-06-03,2891C,18933,1192779,63.0,63.0,63.0,63.0,0.0,45
2020-06-04,2891C,18362,1156806,63.1,63.1,62.8,63.1,0.1,21
2020-06-05,2891C,14694,928055,63.1,63.2,63.1,63.2,0.1,31
2020-06-08,2891C,23055,1457968,63.3,63.3,63.1,63.2,0.0,43
2020-06-09,2891C,15027,951302,63.4,63.4,63.2,63.4,0.2,30
2020-06-10,2891C,20320,1290217,63.3,63.6,63.3,63.6,0.2,32
2020-06-11,2891C,14242,906246,63.7,63.7,63.6,63.6,0.0,19
2020-06-12,2891C,24151,1525827,63.0,63.6,62.1,63.6,0.0,25
2020-06-15,2891C,8582,544238,63.4,63.5,63.3,63.5,-0.1,13
2020-06-16,2891C,16603,1053627,63.4,63.5,63.4,63.5,0.0,23
2020-06-17,2891C,7280,460965,63.1,63.5,63.1,63.5,0.0,12
2020-06-18,2891C,11139,706510,63.3,63.6,63.3,63.6,0.1,16
2020-06-19,2891C,102743,6534440,63.6,63.6,63.6,63.6,0.0,53
2020-06-22,2891C,10037,638837,63.6,63.7,63.6,63.7,0.1,9
2020-06-23,2891C,36094,2300868,63.7,63.8,63.7,63.7,0.0,24
