date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,8110,3341999,39502036,11.75,12.0,11.7,11.75,0.1,714
2020-01-03,8110,2942351,33693680,11.75,11.8,11.25,11.35,-0.4,889
2020-01-06,8110,1576880,17633261,11.3,11.4,11.05,11.15,-0.2,554
2020-01-07,8110,1922797,21201886,11.15,11.25,10.9,11.05,-0.1,453
2020-01-08,8110,1481111,16498671,11.05,11.3,10.95,11.05,0.0,449
2020-01-09,8110,850000,9550300,11.2,11.3,11.2,11.25,0.2,289
2020-01-10,8110,663180,7451624,11.35,11.35,11.15,11.25,0.0,265
2020-01-13,8110,1160061,13242445,11.35,11.5,11.35,11.4,0.15,423
2020-01-14,8110,709709,8153518,11.5,11.55,11.45,11.45,0.05,253
2020-01-15,8110,899948,10349904,11.5,11.6,11.45,11.45,0.0,363
2020-01-16,8110,6294196,74451539,11.55,12.05,11.5,11.75,0.3,1784
2020-01-17,8110,1501715,17741480,11.85,11.9,11.65,11.9,0.15,518
2020-01-20,8110,7044690,85981230,12.1,12.35,12.0,12.05,0.15,2016
2020-01-30,8110,3122310,34809310,11.05,11.4,10.95,11.0,-1.05,989
2020-01-31,8110,2019000,22452500,11.15,11.3,11.0,11.05,0.05,514
2020-02-03,8110,2074000,21466100,10.65,10.65,10.1,10.45,-0.6,617
2020-02-04,8110,1177651,12576515,10.6,10.8,10.5,10.75,0.3,365
2020-02-05,8110,2831228,31154468,11.0,11.2,10.75,11.1,0.35,784
2020-02-06,8110,2334600,26514970,11.25,11.6,11.2,11.25,0.15,914
2020-02-07,8110,1071389,11827579,11.1,11.15,10.95,11.0,-0.25,394
2020-02-10,8110,847142,9157690,10.8,10.95,10.65,10.85,-0.15,257
2020-02-11,8110,645264,7036763,10.95,10.95,10.85,10.9,0.05,226
2020-02-12,8110,579021,6355331,10.95,11.1,10.9,10.95,0.05,234
2020-02-13,8110,882340,9764055,11.05,11.1,11.0,11.05,0.1,378
2020-02-14,8110,662000,7302500,11.05,11.1,10.95,11.1,0.05,208
2020-02-17,8110,1013200,11102300,11.1,11.1,10.85,10.9,-0.2,275
2020-02-18,8110,3485671,38212330,10.95,11.1,10.7,10.75,-0.15,647
2020-02-19,8110,689040,7463034,10.85,10.95,10.75,10.8,0.05,187
2020-02-20,8110,459058,4982277,10.9,10.95,10.8,10.85,0.05,197
2020-02-21,8110,829200,8950550,10.85,10.9,10.7,10.75,-0.1,310
2020-02-24,8110,1054000,11136450,10.65,10.75,10.5,10.55,-0.2,360
2020-02-25,8110,1160053,12113363,10.4,10.65,10.3,10.65,0.1,399
2020-02-26,8110,1110423,11637462,10.5,10.65,10.4,10.5,-0.15,395
2020-02-27,8110,1321090,13619417,10.55,10.6,10.15,10.2,-0.3,378
2020-03-02,8110,1355086,13681277,9.98,10.3,9.96,10.2,0.0,421
2020-03-03,8110,1886000,19894900,10.4,10.65,10.4,10.45,0.25,722
